DATE,PCE
1980-01-01,414502
1980-04-01,423893
1980-07-01,437419
1980-10-01,474853
1981-01-01,454535
1981-04-01,476304
1981-07-01,486239
1981-10-01,516873
1982-01-01,489867
1982-04-01,506959
1982-07-01,516766
1982-10-01,557665
1983-01-01,528453
1983-04-01,560648
1983-07-01,574301
1983-10-01,618203
1984-01-01,590266
1984-04-01,617272
1984-07-01,620377
1984-10-01,664426
1985-01-01,636625
1985-04-01,669364
1985-07-01,682388
1985-10-01,724454
1986-01-01,684983
1986-04-01,710946
1986-07-01,724631
1986-10-01,765718
1987-01-01,718294
1987-04-01,762670
1987-07-01,775418
1987-10-01,819897
1988-01-01,781886
1988-04-01,819335
1988-07-01,836203
1988-10-01,892590
1989-01-01,843319
1989-04-01,884696
1989-07-01,898475
1989-10-01,950268
1990-01-01,903424
1990-04-01,942675
1990-07-01,958197
1990-10-01,1004699
1991-01-01,937857
1991-04-01,977762
1991-07-01,990992
1991-10-01,1036838
1992-01-01,993774
1992-04-01,1035336
1992-07-01,1053132
1992-10-01,1115317
1993-01-01,1051752
1993-04-01,1102096
1993-07-01,1118091
1993-10-01,1180044
1994-01-01,1119847
1994-04-01,1165864
1994-07-01,1184231
1994-10-01,1251023
1995-01-01,1175540
1995-04-01,1232016
1995-07-01,1246289
1995-10-01,1308746
1996-01-01,1247930
1996-04-01,1301654
1996-07-01,1313340
1996-10-01,1381672
1997-01-01,1320974
1997-04-01,1364447
1997-07-01,1390831
1997-10-01,1460538
1998-01-01,1387504
1998-04-01,1458512
1998-07-01,1478112
1998-10-01,1553120
1999-01-01,1483537
1999-04-01,1556139
1999-07-01,1578387
1999-10-01,1661016
2000-01-01,1615451
2000-04-01,1677527
2000-07-01,1694653
2000-10-01,1774513
2001-01-01,1704810
2001-04-01,1760001
2001-07-01,1759476
2001-10-01,1841347
2002-01-01,1763448
2002-04-01,1817555
2002-07-01,1840853
2002-10-01,1927084
2003-01-01,1848347
2003-04-01,1909345
2003-07-01,1945406
2003-10-01,2037652
2004-01-01,1969714
2004-04-01,2027196
2004-07-01,2056371
2004-10-01,2178679
2005-01-01,2083637
2005-04-01,2164305
2005-07-01,2210935
2005-10-01,2310189
2006-01-01,2220516
2006-04-01,2306051
2006-07-01,2328379
2006-10-01,2422289
2007-01-01,2340236
2007-04-01,2417758
2007-07-01,2435725
2007-10-01,2552874
2008-01-01,2472893
2008-04-01,2529145
2008-07-01,2523004
2008-10-01,2525041
2009-01-01,2393588
2009-04-01,2453801
2009-07-01,2482376
2009-10-01,2561454
2010-01-01,2468049
2010-04-01,2553691
2010-07-01,2572012
2010-10-01,2666504
2011-01-01,2576465
2011-04-01,2673515
2011-07-01,2686441
2011-10-01,2762435
2012-01-01,2686000
2012-04-01,2754478
2012-07-01,2754643
2012-10-01,2852242
2013-01-01,2747402
2013-04-01,2828143
2013-07-01,2847324
2013-10-01,2965365
2014-01-01,2843329
2014-04-01,2951940
2014-07-01,2980003
2014-10-01,3099179
2015-01-01,2953944
2015-04-01,3065271
2015-07-01,3087550
2015-10-01,3190672
2016-01-01,3055278
2016-04-01,3163026
2016-07-01,3190090
2016-10-01,3318455
2017-01-01,3178507
2017-04-01,3304215
2017-07-01,3328872
2017-10-01,3479032
2018-01-01,3344139
2018-04-01,3477141
2018-07-01,3493569
2018-10-01,3619592
2019-01-01,3429969
2019-04-01,3595206
2019-07-01,3631698
2019-10-01,3780670
2020-01-01,3533126
2020-04-01,3300840
