time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-0.7,-6.2,,,,,0.4,,1032.2,
2020-01-02,1.0,-0.5,4.6,0.0,,,0.0,,1029.5,
2020-01-03,0.2,-3.1,,0.0,,,0.8,,1027.3,
2020-01-04,1.5,-2.5,6.4,,,,0.9,,1025.8,
2020-01-05,2.5,-2.9,6.3,,,,0.4,,1030.2,
2020-01-06,4.2,0.9,5.2,,,,2.8,,1026.6,
2020-01-07,6.2,4.4,8.1,17.8,,,2.4,,1011.9,
2020-01-08,1.6,0.1,9.1,41.9,,,2.0,,1011.9,
2020-01-09,-1.5,-1.9,2.1,0.0,,,1.0,,1024.0,
2020-01-10,0.2,-4.0,3.7,,,,1.3,,1024.0,
2020-01-11,0.6,,,,,,3.0,,1020.3,
2020-01-12,-1.1,,,,,,0.8,,1018.1,
2020-01-13,-2.2,-4.4,0.6,,,,1.5,,1022.8,
2020-01-14,-2.1,,,,,,0.8,,1025.7,
2020-01-15,-2.1,-6.1,1.7,,,,1.6,,1028.4,
2020-01-16,-1.1,-5.2,2.8,,,,2.4,,1027.3,
2020-01-17,-0.0,-4.5,4.3,,,,0.0,,1023.5,
2020-01-18,1.2,-3.8,5.3,,,,0.7,,1021.5,
2020-01-19,2.1,-2.3,5.6,,,,0.2,,1018.6,
2020-01-20,-0.0,-2.6,6.6,0.5,,,2.3,,1022.1,
2020-01-21,1.1,-5.3,5.0,0.0,,,0.4,,1029.6,
2020-01-22,3.6,0.2,7.1,,,,0.2,,1025.7,
2020-01-23,4.6,-2.5,9.4,,,,1.0,,1023.7,
2020-01-24,3.2,-1.0,7.3,,,,1.5,,1029.7,
2020-01-25,4.6,-1.8,9.1,,,,0.6,,1029.4,
2020-01-26,7.0,0.1,11.3,,,,4.0,,1027.2,
2020-01-27,6.0,5.5,8.1,,,,8.8,,1021.4,
2020-01-28,6.8,5.2,10.4,0.0,,,3.9,,1018.1,
2020-01-29,6.0,0.2,9.5,0.0,,,1.6,,1016.0,
2020-01-30,5.5,1.7,9.1,,,,3.5,,1014.6,
2020-01-31,3.5,0.6,7.4,,,,1.9,,1019.0,
2020-02-01,2.5,-2.8,7.6,,,,0.3,,1023.6,
2020-02-02,1.9,-1.8,5.5,,,,0.8,,1025.3,
2020-02-03,-1.2,-1.8,2.9,,,,4.1,,1026.6,
2020-02-04,-1.2,-7.2,4.3,9.9,,,2.4,,1026.5,
2020-02-05,-8.5,-10.0,-4.1,1.8,,,5.6,,1031.5,
2020-02-06,-4.6,-11.5,0.1,0.0,,,3.5,,1034.2,
2020-02-07,-0.3,-6.9,3.1,,,,4.3,,1029.8,
2020-02-08,-0.7,-1.9,4.1,,,,7.1,,1027.3,
2020-02-09,1.0,-5.3,4.1,,,,4.1,,1025.9,
2020-02-10,4.3,-0.4,,,,,3.9,,1023.5,
2020-02-11,8.7,-0.2,,,,,2.3,,1027.0,
2020-02-12,7.5,7.1,10.1,0.0,,,3.2,,1017.7,
2020-02-13,6.3,7.1,8.1,6.6,,,3.8,,1018.6,
2020-02-14,9.1,3.5,14.1,0.0,,,2.6,,1020.6,
2020-02-15,8.7,7.1,15.1,,,,3.4,,1018.4,
2020-02-16,-2.7,,,14.5,,,8.2,,1013.0,
2020-02-17,-6.2,-5.9,-1.9,2.0,,,6.4,,1017.5,
2020-02-18,-2.8,-8.0,2.1,0.0,,,5.5,,1026.9,
2020-02-19,2.4,-4.1,,,,,2.4,,1029.9,
2020-02-20,5.5,-0.3,11.1,,,,2.9,,1032.9,
2020-02-21,7.5,2.4,11.1,,,,3.3,,1030.1,
2020-02-22,2.7,2.1,7.1,7.4,,,9.9,,1023.9,
2020-02-23,3.6,-2.2,,0.0,,,5.4,,1029.0,
2020-02-24,8.4,1.1,12.1,,,,2.4,,1024.6,
2020-02-25,6.2,6.1,10.1,8.6,,,7.1,,1018.0,
2020-02-26,6.4,5.1,10.1,7.9,,,4.5,,1022.6,
2020-02-27,6.9,1.6,,0.0,,,3.6,,1027.5,
2020-02-28,4.9,4.2,7.1,,,,2.1,,1023.0,
2020-02-29,7.8,5.1,12.1,4.3,,,3.4,,1018.2,
2020-03-01,5.5,4.1,10.1,0.0,,,3.2,,1018.2,
2020-03-02,3.5,0.3,7.1,0.3,,,6.6,,1023.0,
2020-03-03,5.7,0.6,11.1,0.0,,,4.3,,1024.0,
2020-03-04,1.1,,,,,,8.5,,1021.9,
2020-03-05,1.9,-2.5,6.1,,,,5.8,,1025.2,
2020-03-06,4.8,-2.2,,,,,2.9,,1022.8,
2020-03-07,7.7,1.6,13.1,,,,3.2,,1018.0,
2020-03-08,10.1,2.6,16.1,,,,3.5,,1018.6,
2020-03-09,11.9,5.1,17.1,,,,3.3,,1014.5,
2020-03-10,5.0,,,4.8,,,5.5,,1007.8,
2020-03-11,4.1,0.3,,7.1,,,,,,
2020-03-12,8.2,0.5,,0.0,,,4.2,,1021.4,
2020-03-13,3.2,,,0.5,,,,,,
2020-03-14,5.1,-2.4,,0.0,,,,,,
2020-03-15,3.4,2.1,8.1,,,,7.5,,1011.2,
2020-03-16,5.1,-1.8,9.1,,,,5.4,,1021.8,
2020-03-17,6.7,3.4,12.1,,,,3.8,,1015.8,
2020-03-18,12.2,3.0,17.2,,,,2.2,,1013.5,
2020-03-19,7.6,6.9,13.1,,,,4.9,,1005.4,
2020-03-20,10.2,3.4,13.5,,,,2.2,,1013.6,
2020-03-21,12.9,6.4,18.9,,,,2.0,,1011.5,
2020-03-22,10.8,6.6,16.5,,,,4.0,,1013.8,
2020-03-23,11.0,2.7,17.1,,,,2.3,,1017.1,
